Date,Value
2020-01-31,8554.317576
2020-02-28,7796.355182
2020-03-31,6703.052493
2020-04-30,7176.053846
2020-05-29,7485.751128
2020-06-30,7745.158589
2020-07-31,7953.456244
2020-08-31,8365.182446
2020-09-30,8133.561627
2020-10-30,7815.142688
2020-11-30,9015.513738
2020-12-31,9427.511852
2021-01-29,9328.261614
2021-02-26,9567.557968
2021-03-31,9820.60194
2021-04-30,10137.524475
2021-05-31,10499.003533
2021-06-30,10395.54735
2021-07-30,10466.110788
2021-08-31,10635.435002
2021-09-30,10337.593878
2021-10-29,10648.115622
2021-11-30,10151.676661
2021-12-31,10669.128965
2022-01-31,10199.549232
2022-02-28,10042.166185
2022-03-31,10169.893855
2022-04-29,9510.299386
2022-05-31,9601.866968
2022-06-30,8701.04062
2022-07-29,9135.128206
2022-08-31,8710.033971
2022-09-30,7908.089838
2022-10-31,8345.263654
2022-11-30,9235.913222
2022-12-30,9194.272363
2023-01-31,9949.604002
2023-02-28,9718.879413
2023-03-31,9946.892292
2023-04-28,10239.246505
2023-05-31,9805.188355
2023-06-30,10274.879216
2023-07-31,10609.188693
2023-08-31,10200.610242
2023-09-29,9861.518339
2023-10-31,9446.76428
2023-11-30,10336.634218
2023-12-29,10904.028068
2024-01-31,10952.679796
2024-02-29,11141.5199
2024-03-29,11529.990723
2024-04-30,11236.003441
2024-05-31,11679.265209
2024-06-28,11488.944057
2024-07-31,11851.326351
2024-08-30,12248.585142
2024-09-30,12389.856063
2024-10-31,11760.301464
2024-11-29,11790.820522
2024-12-31,11477.42666
2025-01-31,12049.969684
